date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
13:15:24	0/0	---M--	200	added ('OK')	text/plain	etag:%220-5ee8625e1502a%22	https://musikschule-cms-bielefeld.de/robots.txt		(from )
13:15:25	13952/13952	---M-Z	200	added ('OK')	text/html	date:Fri,%2026%20Dec%202025%2008:15:24%20GMT	https://musikschule-cms-bielefeld.de/	./music_site_copy/musikschule-cms-bielefeld.de/index.html	(from )
13:15:26	171848/171848	---M-Z	200	added ('OK')	text/javascript	etag:%2229f48-63765bc9b2a99-gzip%22	https://musikschule-cms-bielefeld.de/js/common-bundle.js?ts=20250612232551	./music_site_copy/musikschule-cms-bielefeld.de/js/common-bundlec280.js	(from https://musikschule-cms-bielefeld.de/)
13:15:26	0/0	---M--	200	added ('OK')	text/javascript	etag:%220-606418ec59ef2%22	https://musikschule-cms-bielefeld.de/js/a189c6ad0d532018895de4c4e51e078b-bundle.js?ts=20250612232551	./music_site_copy/musikschule-cms-bielefeld.de/js/a189c6ad0d532018895de4c4e51e078b-bundle.1c280.delayed	(from https://musikschule-cms-bielefeld.de/)
13:15:28	404743/404743	---M-Z	200	added ('OK')	text/css	etag:%2262d07-63765bcb317a4-gzip%22	https://musikschule-cms-bielefeld.de/css/common-bundle.css?ts=20250612232551	./music_site_copy/musikschule-cms-bielefeld.de/css/common-bundlec280.css	(from https://musikschule-cms-bielefeld.de/)
13:15:28	33759/33759	---M-Z	200	added ('OK')	text/css	etag:%2283df-63765bcadf722-gzip%22	https://musikschule-cms-bielefeld.de/css/a189c6ad0d532018895de4c4e51e078b-bundle.css?ts=20250612232551	./music_site_copy/musikschule-cms-bielefeld.de/css/a189c6ad0d532018895de4c4e51e078b-bundlec280.css	(from https://musikschule-cms-bielefeld.de/)
13:15:29	14025/14025	---M-Z	200	added ('OK')	text/html	date:Fri,%2026%20Dec%202025%2008:15:29%20GMT	https://musikschule-cms-bielefeld.de/Start	./music_site_copy/musikschule-cms-bielefeld.de/Start.html	(from https://musikschule-cms-bielefeld.de/)
13:15:30	17087/17087	---M--	200	added ('OK')	image/png	etag:%2242bf-61452072580af%22	https://musikschule-cms-bielefeld.de/gallery/Screenshot%202024-03-23%20at%2012.02.03.png?ts=1749759952	./music_site_copy/musikschule-cms-bielefeld.de/gallery/Screenshot%202024-03-23%20at%2012.02.036eb1.png	(from https://musikschule-cms-bielefeld.de/)
13:15:31	17087/17087	---M--	200	added ('OK')	image/png	etag:%2242bf-62a32868d4cb6%22	https://musikschule-cms-bielefeld.de/gallery_gen/51f017f043c1af3875a6d6372e450d90_fit.png?ts=1749759952	./music_site_copy/musikschule-cms-bielefeld.de/gallery_gen/51f017f043c1af3875a6d6372e450d90_fit6eb1.png	(from https://musikschule-cms-bielefeld.de/)
13:15:32	7295/7295	---M--	200	added ('OK')	image/png	etag:%221c7f-614520725710f%22	https://musikschule-cms-bielefeld.de/gallery/Screenshot%202024-03-23%20at%2012.04.58.png?ts=1749759952	./music_site_copy/musikschule-cms-bielefeld.de/gallery/Screenshot%202024-03-23%20at%2012.04.586eb1.png	(from https://musikschule-cms-bielefeld.de/)
